nail ,পেরেক,
naked ,নগ্ন,
name ,নাম,
narrow ,সরু,
nasty ,কদর্য,
nation ,জাতি,
national ,জাতীয়,
native ,স্থানীয়,
natural ,প্রাকৃতিক,
naturally ,স্বাভাবিকভাবে,
nature ,প্রকৃতি,
naughty ,দুষ্টু,
near ,কাছে,
nearby ,কাছাকাছি,
nearly ,প্রায়,
neat ,ঝরঝরে,
necessarily ,অগত্যা,
necessary ,প্রয়োজনীয়,
neck ,ঘাড়,
need ,প্রয়োজন,
negative ,নেতিবাচক,
negotiate ,আলোচনা করা,
negotiation ,আলাপ - আলোচনা,
neighbour ,প্রতিবেশী,
neighbourhood ,পাড়া,
neither ,না,
nerve ,স্নায়ু,
nervous ,স্নায়বিক,
net ,নেট,
network ,অন্তর্জাল,
never ,কখনই না,
nevertheless ,তবুও,
new ,নতুন,
newly ,সদ্য,
news ,খবর,
newspaper ,খবরের কাগজ,
next ,পরবর্তী,
nice ,সুন্দর,
nicely ,সুন্দরভাবে,
night ,রাত,
nil ,শূন্য,
no ,না,
no one ,কেউ না,
no way ,কোনভাবেই না,
nobody ,কেউ না,
nod ,হাঁ,
noise ,শব্দ,
noisy ,সশব্দ,
none ,কিছুই না,
nonsense ,আজেবাজে কথা,
nope ,না,
nor ,না,
normal ,সাধারণ,
normally ,সাধারণত,
north ,উত্তর,
northern ,উত্তর,
nose ,নাক,
not ,না,
notably ,লক্ষণীয়ভাবে,
note ,বিঃদ্রঃ,
nothing ,কিছুই না,
notice ,নোটিশ,
notion ,ধারণা,
novel ,উপন্যাস,
now ,এখন,
nowadays ,আজকাল,
nowhere ,কোথাও,
nuclear ,পারমাণবিক,
nuisance ,উপদ্রব,
number ,সংখ্যা,
numerous ,অনেক,
nurse ,নার্স,
nut ,বাদাম,
