wage ,বেতন,
wait ,অপেক্ষা করুন,
wake ,জাগা,
walk ,হাঁটা,
wall ,প্রাচীর,
wander ,বিচরণ,
want ,চাই,
war ,যুদ্ধ,
ward ,ওয়ার্ড,
wardrobe ,পোশাক,
warm ,উষ্ণ,
warn ,সতর্ক করা,
warning ,সতর্কতা,
wash ,ধুয়ে ফেলুন,
washing ,ধোলাই,
waste ,নষ্ট,
watch ,ঘড়ি,
water ,জল,
wave ,waveেউ,
way ,উপায়,
we ,আমরা,
weak ,দুর্বল,
weakness ,দুর্বলতা,
wealth ,ধন,
weapon ,অস্ত্র,
wear ,পরা,
weather ,আবহাওয়া,
web ,ওয়েব,
website ,ওয়েবসাইট,
wedding ,বিবাহ,
week ,সপ্তাহ,
weekend ,উইকএন্ড,
weekly ,সাপ্তাহিক,
weigh ,ওজন করা,
weight ,ওজন,
weird ,অদ্ভুত,
welcome ,স্বাগত,
welfare ,কল্যাণ,
well ,আমরা হব,
well  ,আমরা হব,
west ,পশ্চিম,
western ,পশ্চিমা,
wet ,ভেজা,
what ,কি,
whatever ,যাই হোক,
whatsoever ,যাই হোক না কেন,
wheel ,চাকা,
when ,কখন,
whenever ,যখনই,
where ,কোথায়,
whereas ,যদিও,
wherever ,যেখানেই,
whether ,কিনা,
which ,যা,
while ,যখন,
whisky ,হুইস্কি,
whisper ,ফিসফিস,
white ,সাদা,
who ,WHO,
whoever ,যে কেউ,
whole ,পুরো,
whom ,কাকে,
whose ,কার,
why ,কেন,
wicked ,দুষ্ট,
wide ,প্রশস্ত,
widely ,ব্যাপকভাবে,
widespread ,বিস্তৃত,
wife ,স্ত্রী,
wild ,বন্য,
will ,ইচ্ছাশক্তি,
will ,ইচ্ছাশক্তি,
willing ,রাজী,
win ,জিত,
wind ,বায়ু,
window ,জানলা,
windy ,বাতাসযুক্ত,
wine ,মদ,
wing ,ডানা,
winner ,বিজয়ী,
winter ,শীত,
wipe ,মুছা,
wire ,তার,
wise ,বুদ্ধিমান,
wish ,ইচ্ছা,
with ,সঙ্গে,
withdraw ,প্রত্যাহার,
within ,মধ্যে,
without ,ছাড়া,
witness ,সাক্ষী,
woman ,মহিলা,
wonder ,অবাক,
wonderful ,দুর্দান্ত,
wood ,কাঠ,
wooden ,কাঠের,
wool ,উল,
word ,শব্দ,
work ,কাজ,
worker ,কর্মী,
working ,কাজ,
workshop ,কর্মশালা,
world ,বিশ্ব,
worried ,উদ্বিগ্ন,
worry ,উদ্বেগ,
worrying ,উদ্বেগজনক,
worse ,আরও খারাপ,
worth ,মূল্য,
would ,হবে,
wound ,ক্ষত,
wrap ,মোড়ানো,
write ,লিখুন,
writer ,লেখক,
writing ,লেখা,
wrong ,ভুল,
