1,abandon ,পরিত্যাগ করা,Those who abandon their parents are bad.
2,ability ,ক্ষমতা,Kazi Nazrul lost the ability to speak at old age.
3,able ,সক্ষম,Man are able to achieve nothing without Allahs will.
4,about ,সম্পর্কিত,Fahim knows nothing about journalism.
5,above ,উপরে,A display of fireworks above the town.
6,abroad ,বিদেশে,We usually go abroad for a week in May.
7,absence ,অনুপস্থিতি,The letter had arrived during his absence.
8,absolute ,পরম,Nothing is absolute.
9,absolutely ,একেবারে,He absolutely forgot about his meeting.
10,absorb ,শোষণ,A sponge absorbs water.
11,abuse ,অপব্যবহার,The judge abused his power by imposing the fines.
12,academic ,একাডেমিক,Academic notice has been given.
13,accept ,গ্রহণ,Man should accept his fate.
14,acceptable ,গ্রহণযোগ্য,Child marriage is not acceptable in modern society.
15,access ,অ্যাক্সেস,Students have no access in Teachers room.
16,accident ,দুর্ঘটনা,He died in an accident.
17,accommodation ,থাকার ব্যবস্থা,Polash has no accommodation in dhaka.
18,accompany ,সাথে,Sakib visited zoo accompanied by his friends.
19,according to ,অনুসারে,The game was played according to rules.
20,account ,হিসাব,I have no account in Bank
21,accurate ,নির্ভুল,The result of the math is accurate.
22,accuse ,অভিযুক্ত করা,He is accused of theft.
23,achieve ,অর্জন,Bolt achieved gold medal.
24,achievement ,কৃতিত্ব,Everyone is proud of their achievement.
25,acid ,অ্যাসিড,Acid throwing is a criminal act.
26,acknowledge ,স্বীকৃতি,Great Wall of China is acknowledged as one of the 7 wonder of the world.
27,acquire ,অর্জন,I have acquired great skill in maths.
28,across ,ওপারে,My house is across the river.
29,act ,ভান,My firend has good acting skill.
30,action ,কর্ম,Necessary actions has been taken against robbery.
31,active ,সক্রিয়,Shejan is an active politician.
32,activist ,কর্মী,Munna is a political activist.
33,activity ,ক্রিয়াকলাপ,Write down your daily activity.
34,actor ,অভিনেতা,Who is your favorite actor?
35,actual ,আসল,The police failed to reveal the actual truth.
36,actually ,আসলে,Actually he isn't lying.
37,ad ,বিজ্ঞাপন,Ads help grow buisiness.
38,adapt ,অভিযোজিত,Every species adapt according to its surroundings.
39,add ,যোগ করুন,adding 2 with 3 you will get 5.
40,addition ,যোগ,Addtion of extra player made the team stronger.
41,additional ,অতিরিক্ত,Additonal syllebus is not compulsory.
42,address ,ঠিকানা,Attach the address with the parcel.
43,adequate ,পর্যাপ্ত,The tip was adequate.
44,adjust ,সামঞ্জস্য করুন,Students got perfect resutl adjusting the value of x.
45,administration ,প্রশাসন,Academic administration failed to provide proper guidence of admission.
46,administrative ,প্রশাসনিক,My father is an administrative officer.
47,admire ,প্রশংসা,I admired my mother and she was so happy about it.
48,admission ,ভর্তি,Getting admission in engineering is easier than studying engineering.
49,admit ,মানা,The thief admited his crime.
50,adopt ,গ্রহণ,My neighbour adopted a baby.
51,adult ,প্রাপ্তবয়স্ক,The movie is only for adults.
52,advance ,অগ্রিম,He said sorry in advance.
53,advanced ,উন্নত,Turkey advanced rapidly in last few years.
54,advantage ,সুবিধা,Brazil has advantages in the match against argentina.
55,advert ,বিজ্ঞাপন,Advert the advertisement.
