cabinet,মন্ত্রিসভা
cable ,তারের
cake ,পিষ্টক
calculate ,গণনা
calculation ,গণনা
calculator ,ক্যালকুলেটর
calendar ,পঞ্জিকা
call ,কল
calm ,শান্ত
camera ,ক্যামেরা
camp ,শিবির
campaign ,প্রচার
can ,করতে পারা
can,করতে পারা
cancel ,বাতিল
cancer ,ক্যান্সার
candidate ,প্রার্থী
candle ,মোমবাতি
candy ,মিছরি
cap ,ক্যাপ
capable ,সক্ষম
capacity ,ক্ষমতা
capital ,মূলধন
captain ,অধিনায়ক
capture ,ক্যাপচার
car ,গাড়ি
card ,কার্ড
care ,যত্ন
career ,কর্মজীবন
careful ,সাবধান
carefully ,সাবধানে
carpet ,কার্পেট
carrot ,গাজর
carry ,বহন
cartoon ,কার্টুন
case ,কেস
cash ,নগদ
cast ,নিক্ষেপ
castle ,দুর্গ
cat ,বিড়াল
catalogue ,ক্যাটালগ
catch ,ধরা
category ,বিভাগ
cause ,কারণ
CD ,সিডি
cease ,বন্ধ করুন
ceiling ,সিলিং
celebrate ,উদযাপন
celebration ,উদযাপন
cell ,কোষ
cellphone ,মুঠোফোন
cent ,শতক
centimetre ,সেন্টিমিটার
central ,কেন্দ্রীয়
centre ,কেন্দ্র
century ,শতাব্দী
cereal ,সিরিয়াল
certain ,নির্দিষ্ট
certainly ,অবশ্যই
certificate ,সনদপত্র
chain ,চেইন
chair ,চেয়ার
chairman ,চেয়ারম্যান
challenge ,চ্যালেঞ্জ
champion ,রক্ষক
championship ,চ্যাম্পিয়নশিপ
chance ,সুযোগ
change ,পরিবর্তন
channel ,চ্যানেল
chap ,অধ্যায়
chapter ,অধ্যায়
character ,চরিত্র
characteristic ,চরিত্রগত
characterize ,বৈশিষ্ট্যযুক্ত
charge ,চার্জ
charity ,দানশীলতা
chart ,চার্ট
chase ,পশ্চাদ্ধাবন
chat ,চ্যাট
cheap ,সস্তা
cheat ,প্রতারণা
check ,চেক
cheek ,গাল
cheese ,পনির
chemical ,রাসায়নিক
chemist ,রসায়নবিদ
chemistry ,রসায়ন
cheque ,চেক
cherry ,চেরি
chest ,বুক
chicken ,মুরগি
chief ,প্রধান
child ,শিশু
childhood ,শৈশব
chip ,চিপ
chocolate ,চকোলেট
choice ,পছন্দ
choose ,পছন্দ করা
chop ,কাটা
chuck ,ছক
church ,গির্জা
cigarette ,সিগারেট
cinema ,সিনেমা
circle ,বৃত্ত
circuit ,সার্কিট
circumstance ,পরিস্থিতি
citizen ,নাগরিক
city ,শহর
civil ,নাগরিক
claim ,দাবি
class ,ক্লাস
classic ,ক্লাসিক
classical ,ধ্রুপদী
classroom ,শ্রেণিকক্ষ
clean ,পরিষ্কার
cleaner ,পরিষ্কারক
clear ,স্পষ্ট
clearly ,পরিষ্কারভাবে
clerk ,কেরানী
clever ,চালাক
