face ,মুখ
facility ,সুবিধা
fact ,সত্য
factor ,ফ্যাক্টর
factory ,কারখানা
fail ,ব্যর্থ
failure ,ব্যর্থতা
fair ,ফর্সা
fairly ,মোটামুটি
faith ,বিশ্বাস
fall ,পড়া
false ,মিথ্যা
familiar ,পরিচিত
family ,পরিবার
famous ,বিখ্যাত
fan ,ফ্যান
fancy ,অভিনব
fantastic ,দুর্দান্ত
far ,অনেক দূরে
farm ,খামার
farmer ,কৃষক
fascinating ,আকর্ষণীয়
fashion ,ফ্যাশন
fast ,দ্রুত
fat ,চর্বি
father ,পিতা
fault ,দোষ
favour ,আনুকূল্য
favourite ,প্রিয়
fear ,ভয়
feature ,বৈশিষ্ট্য
federal ,ফেডারেল
fee ,ফি
feed ,খাওয়ান
feedback ,প্রতিক্রিয়া
feel ,অনুভব করা
feeling ,অনুভূতি
fellow ,সহকর্মী
female ,মহিলা
fence ,বেড়া
festival ,উৎসব
fetch ,আনা
few ,কয়েক
field ,ক্ষেত্র
fight ,লড়াই
figure ,চিত্র
file ,ফাইল
fill ,পূরণ
film ,ফিল্ম
filthy ,নোংরা
final ,চূড়ান্ত
finally ,শেষ পর্যন্ত
finance ,অর্থায়ন
financial ,আর্থিক
find ,অনুসন্ধান
finding ,সন্ধান করা
fine ,ঠিক আছে
finger ,আঙুল
finish ,শেষ
fire ,আগুন
firm ,দৃঢ়
first ,প্রথম
firstly ,প্রথমত
fish ,মাছ
fishing ,মাছ ধরা
fit ,ফিট
fix ,ঠিক কর
fixed ,স্থির
flash ,ফ্ল্যাশ
flat ,সমান
flavour ,গন্ধ
flesh ,মাংস
flight ,বিমান
flood ,বন্যা
floor ,মেঝে
flow ,প্রবাহ
flower ,ফুল
fly ,উড়ে
focus ,ফোকাস
fold ,ভাঁজ
folk ,লোক
follow ,অনুসরণ
following ,নিম্নলিখিত
food ,খাদ্য
foot ,পা
football ,ফুটবল
for ,জন্য
force ,জোর
foreign ,বিদেশী
forest ,বন। জংগল
forever ,চিরতরে
forget ,ভুলে যাও
forgive ,ক্ষমা
fork ,কাঁটাচামচ
form ,ফর্ম
formal ,প্রথাগত
formally ,আনুষ্ঠানিকভাবে
formation ,গঠন
former ,প্রাক্তন
formula ,সূত্র
forth ,সামনে
fortnight ,পাক্ষিক
fortunate ,ভাগ্যবান
fortune ,ভাগ্য
forward ,এগিয়ে
foundation ,ভিত্তি
frame ,ফ্রেম
frankly ,অকপটে
free ,বিনামূল্যে
freedom ,স্বাধীনতা
freeway ,ফ্রিওয়ে
freeze ,বরফে পরিণত করা
freezer ,ফ্রিজার
frequent ,ঘন ঘন
frequently ,ঘন ঘন
fresh ,সতেজ
fridge ,ফ্রিজ
friend ,বন্ধু
friendly ,বন্ধুত্বপূর্ণ
friendship ,বন্ধুত্ব
frightened ,ভীত
from ,থেকে
front ,সামনের
fruit ,ফল
fry ,ভাজা
fuel ,জ্বালানী
full ,সম্পূর্ণ
fully ,পুরোপুরি
fun ,মজা
function ,ফাংশন
fund ,তহবিল
fundamental ,মৌলিক
funeral ,অন্ত্যেষ্টিক্রিয়া
funny ,হাস্যকর
furniture ,আসবাবপত্র
further ,আরও
fuss ,হৈ চৈ
future ,ভবিষ্যত
