race,জাতি,
racing ,রেসিং,
radical ,র‌্যাডিক্যাল,
radio ,রেডিও,
rail ,রেল,
railway ,রেলপথ,
rain ,বৃষ্টি,
raise ,উত্থাপন,
range ,পরিসর,
rank ,পদ,
rapid ,দ্রুত,
rapidly ,দ্রুত,
rare ,বিরল,
rarely ,খুব কমই,
rate ,হার,
rather ,বরং,
ratio ,অনুপাত,
raw ,কাঁচা,
reach ,পৌঁছানো,
react ,প্রতিক্রিয়া,
reaction ,প্রতিক্রিয়া,
read ,পড়া,
reader ,পাঠক,
readily ,সহজেই,
reading ,পড়া,
ready ,প্রস্তুত,
real ,বাস্তব,
realistic ,বাস্তববাদী,
reality ,বাস্তবতা,
realize ,উপলব্ধি,
really ,সত্যিই,
reason ,কারণ,
reasonable ,যুক্তিসঙ্গত,
reasonably ,যুক্তিসঙ্গতভাবে,
recall ,প্রত্যাহার,
receipt ,প্রাপ্তি,
receive ,গ্রহণ,
recent ,সাম্প্রতিক,
recently ,সম্প্রতি,
reception ,অভ্যর্থনা,
recipe ,রেসিপি,
reckon ,বোধ করা,
recognition ,স্বীকৃতি,
recognize ,চিনতে,
recommend ,সুপারিশ,
recommendation ,সুপারিশ,
record ,রেকর্ড,
recording ,রেকর্ডিং,
recover ,পুনরুদ্ধার,
recovery ,পুনরুদ্ধার,
red ,লাল,
reduce ,হ্রাস,
reduction ,হ্রাস,
refer ,উল্লেখ করুন,
reference ,রেফারেন্স,
reflect ,প্রতিফলিত করা,
reflection ,প্রতিবিম্ব,
reform ,সংশোধন,
refrigerator ,ফ্রিজ,
refuse ,প্রত্যাখ্যান,
regard ,বিবেচনা,
regime ,শাসনব্যবস্থা,
region ,অঞ্চল,
regional ,আঞ্চলিক,
register ,নিবন্ধন,
registration ,নিবন্ধকরণ,
regret ,আফসোস,
regular ,নিয়মিত,
regularly ,নিয়মিত,
regulation ,নিয়ন্ত্রণ,
reinforce ,শক্তিশালী করা,
reject ,প্রত্যাখ্যান,
relate ,বলা,
related ,সম্পর্কিত,
relation ,সম্পর্ক,
relationship ,সম্পর্ক,
relative ,আপেক্ষিক,
relatively ,তুলনামূলকভাবে,
relax ,আরাম,
release ,মুক্তি,
relevant ,প্রাসঙ্গিক,
relief ,স্বস্তি,
relieve ,মুক্তি,
religion ,ধর্ম,
religious ,ধর্মীয়,
rely ,নির্ভর করা,
remain ,থাকা,
remaining ,বাকি,
remains ,অবশেষ,
remark ,মন্তব্য,
remarkable ,অসাধারণ,
remember ,মনে আছে,
remind ,মনে করিয়ে দিন,
remote ,দূরবর্তী,
remove ,অপসারণ,
rent ,ভাড়া,
repair ,মেরামত,
repeat ,পুনরাবৃত্তি,
replace ,প্রতিস্থাপন,
replacement ,প্রতিস্থাপন,
reply ,উত্তর,
report ,রিপোর্ট,
reporter ,রিপোর্টার,
represent ,চিত্রিত করা,
representation ,উপস্থাপনা,
representative ,প্রতিনিধি,
republic ,প্রজাতন্ত্র,
reputation ,খ্যাতি,
request ,অনুরোধ,
require ,প্রয়োজন,
requirement ,প্রয়োজনীয়তা,
rescue ,উদ্ধার,
research ,গবেষণা,
reserve ,সংচিতি,
resident ,বাসিন্দা,
residential ,আবাসিক,
resign ,পদত্যাগ,
resignation ,পদত্যাগ,
resist ,প্রতিহত করা,
resistance ,প্রতিরোধের,
resolution ,রেজোলিউশন,
resolve ,সমাধান,
resort ,অবলম্বন,
resource ,সংস্থান,
respect ,সম্মান,
respectively ,যথাক্রমে,
respond ,সাড়া,
response ,প্রতিক্রিয়া,
responsibility ,দায়িত্ব,
responsible ,দায়বদ্ধ,
rest ,বিশ্রাম,
restaurant ,রেঁস্তোরা,
restore ,পুনরুদ্ধার,
restrict ,সীমাবদ্ধ,
restriction ,সীমাবদ্ধতা,
result ,ফলাফল,
retain ,ধরে রাখা,
retire ,অবসর,
retirement ,অবসর,
return ,প্রত্যাবর্তন,
reveal ,প্রকাশ করা,
revenue ,রাজস্ব,
reverse ,বিপরীত,
review ,পুনঃমূল্যায়ন,
revolution ,বিপ্লব,
reward ,পুরষ্কার,
rhythm ,ছন্দ,
rice ,ভাত,
rich ,ধনী,
rid ,মুক্তি,
ride ,চলা,
ridiculous ,হাস্যকর,
right ,ঠিক,
right  ,ঠিক,
ring ,রিং,
rip ,চিপ,
rise ,উত্থান,
risk ,ঝুঁকি,
rival ,প্রতিদ্বন্দ্বী,
river ,নদী,
road ,রাস্তা,
rob ,ছিনতাই,
rock ,শিলা,
role ,ভূমিকা,
roll ,রোল,
roof ,ছাদ,
room ,ঘর,
root ,রুট,
rope ,দড়ি,
rough ,মোটামুটি,
roughly ,মোটামুটিভাবে,
round ,গোল,
route ,রুট,
routine ,রুটিন,
row ,সারি,
royal ,রাজকীয়,
rub ,ঘষা,
rubber ,রাবার,
rubbish ,আবর্জনা,
rude ,অভদ্র,
ruin ,ধ্বংস,
rule ,নিয়ম,
run ,চালান,
rural ,গ্রামীণ,
rush ,ভিড়,
