vacation,অবকাশ,
vague ,অস্পষ্ট,
valley ,উপত্যকা,
valuable ,মূল্যবান,
value ,মান,
van ,ভ্যান,
variation ,প্রকরণ,
variety ,বিভিন্ন,
various ,বিভিন্ন,
vary ,পরিবর্তিত হয়,
vast ,বিশাল,
vegetable ,শাকসবজি,
vehicle ,যানবাহন,
version ,সংস্করণ,
very ,খুব,
vet ,পশুচিকিত্সা,
via ,মাধ্যমে,
victim ,শিকার,
victory ,বিজয়,
video ,ভিডিও,
view ,দর্শন,
village ,গ্রাম,
violence ,সহিংসতা,
violent ,হিংস্র,
virtually ,কার্যত,
virtue ,পুণ্য,
virus ,ভাইরাস,
visible ,দৃশ্যমান,
vision ,দৃষ্টি,
visit ,দর্শন,
visitor ,দর্শনার্থী,
visual ,ভিজ্যুয়াল,
vital ,প্রাণবন্ত,
voice ,কণ্ঠস্বর,
volume ,ভলিউম,
voluntary ,স্বেচ্ছাসেবী,
vote ,ভোট,
vulnerable ,দুর্বল,
